Mach,Altitude,PowerCode,Thrust,RamDrag,FuelFlow,EINox,ThrustNet,TSFC,,,Mach,Altitude,PowerCode,,Thrust_Equation (lb),TSFC_Equation (lb/lb/hr)
0.7,43000,21,12633.4,10236.9,540,1.51994,2396.5,0.225328604,,,,,,,,
0.75,43000,50,36866.8,22210.5,8119.1,0.55396,14656.3,0.553966554,,,,,,,,
0.75,43000,48,35579,21899.8,7373.9,0.53906,13679.2,0.539059302,,,,,,,,
0.75,43000,46,34234.8,21532.7,6695.4,0.52711,12702.1,0.527109691,,,,,,,,
0.75,43000,42,31352.9,20604.9,5613.3,0.52227,10748,0.522264607,,,,,,,,
0.75,43000,38,28306.7,19512.9,4679,0.53209,8793.8,0.53207942,,,,,,,,
0.75,43000,34,25187.5,18347.9,3797.7,0.55526,6839.6,0.555251769,,,,,,,,
0.75,43000,30,21983.5,17098.1,2911.6,0.59597,4885.4,0.595979858,,,,,,,,
0.75,43000,26,18598.1,15666.9,2083.2,0.71068,2931.2,0.71069869,,,,,,,,
0.75,43000,24,16989.8,14938,1715.3,0.83596,2051.8,0.835997661,,,,,,,,
0.75,43000,22,15301.1,14128.6,1358.6,1.15874,1172.5,1.158720682,,,,,,,,
0.75,43000,21,14402.3,11736.3,544.9,1.61078,2666,0.204388597,,,,,,,,
0.8,43000,50,39683.6,24737.2,8553.9,0.5723,14946.4,0.572305037,,,,,,,,
0.8,43000,48,38351.9,24401.9,7782.4,0.55788,13950,0.557878136,,,,,,,,
0.8,43000,46,36968.6,24015.1,7082.8,0.54678,12953.5,0.546786583,,,,,,,,
0.8,43000,42,33958,22997.3,5952.4,0.54307,10960.7,0.543067505,,,,,,,,
0.8,43000,38,30807.5,21839.6,4948.9,0.55184,8967.9,0.551846029,,,,,,,,
0.8,43000,34,27524.1,20549.1,4020.9,0.57648,6975,0.576473118,,,,,,,,
0.8,43000,30,24148.3,19166.1,3135,0.62926,4982.2,0.629240095,,,,,,,,
0.8,43000,26,20636.7,17647.5,2225.6,0.74452,2989.2,0.744547036,,,,,,,,
0.8,43000,24,18969.5,16877,1834.4,0.87663,2092.5,0.876654719,,,,,,,,
0.8,43000,22,17219.7,16024,1460.6,1.22154,1195.7,1.221543866,,,,,,,,
0.8,43000,21,16304.4,13545.6,543,1.70099,2758.8,0.196824706,,,,,,,,
0.85,43000,50,42781.2,27493.5,9044.1,0.59159,15287.7,0.591593242,,,,,,,,
0.85,43000,48,41405.4,27136.9,8251.9,0.57832,14268.5,0.578329888,,,,,,,,
0.85,43000,46,39971.9,26722.6,7516.8,0.56733,13249.3,0.567335633,,,,,,,,
0.85,43000,42,36844.1,25633,6312.8,0.56309,11211.1,0.5630848,,,,,,,,
0.85,43000,38,33519.7,24347.1,5272.3,0.57478,9172.6,0.574787955,,,,,,,,
0.85,43000,34,30109.2,22974.9,4269.2,0.59841,7134.3,0.598404889,,,,,,,,
0.85,43000,30,26542,21446.1,3332,0.65386,5095.9,0.653858985,,,,,,,,
0.85,43000,26,22845.1,19787.6,2405.7,0.78682,3057.5,0.786819297,,,,,,,,
0.85,43000,24,21120.1,18979.9,1968.1,0.91953,2140.2,0.919586954,,,,,,,,
0.85,43000,22,19302.5,18079.5,1575.2,1.28797,1223,1.287980376,,,,,,,,
0.85,43000,21,18353.9,15384,532.9,1.79518,2969.9,0.179433651,,,,,,,,
0.9,43000,50,46145.3,30504.1,9594.3,0.6134,15641.2,0.613399228,,,,,,,,
0.9,43000,48,44720.9,30122.4,8768.4,0.60064,14598.5,0.600637052,,,,,,,,
0.9,43000,46,43231.3,29675.5,7990.5,0.58945,13555.8,0.589452485,,,,,,,,
0.9,43000,42,39972,28501.8,6707.5,0.58477,11470.2,0.584776203,,,,,,,,
0.9,43000,38,36500.1,27115.3,5616,0.59842,9384.8,0.598414457,,,,,,,,
0.9,43000,34,32917.6,25618.3,4575.3,0.62682,7299.3,0.62681353,,,,,,,,
0.9,43000,30,29216.3,24002.6,3576.9,0.68605,5213.7,0.686057886,,,,,,,,
0.9,43000,26,25311.6,22183.4,2620.8,0.83777,3128.2,0.837798095,,,,,,,,
0.9,43000,24,23501.6,21311.8,2188.4,0.99937,2189.8,0.999360672,,,,,,,,
0.9,43000,22,21624.9,20373.6,1736.8,1.38802,1251.3,1.387996484,,,,,,,,
0.9,43000,21,20652,17251,564.2,1.94311,3401,0.165892385,,,,,,,,
